direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
ace_Arab-ewe_Latn,25.5,6.5,9
ace_Arab-fao_Latn,25.8,8.3,8.4
ace_Arab-fij_Latn,33.7,10.7,12.6
ace_Arab-fin_Latn,28.6,9.5,8.7
ace_Arab-fon_Latn,14.6,2.8,4.5
ace_Arab-fra_Latn,33.1,15.2,14.7
ace_Arab-fur_Latn,29.1,10.7,11.3
ace_Arab-fuv_Latn,16.9,2,2
ace_Arab-gaz_Latn,24.8,4.2,5
ace_Arab-gla_Latn,29.8,9.9,11.6
ace_Arab-gle_Latn,29.5,11.5,13
ace_Arab-glg_Latn,31.4,12,12.4
ace_Arab-grn_Latn,24.6,6.8,8
ace_Arab-guj_Gujr,25.7,11.8,13.8
ace_Arab-hat_Latn,29.1,9.3,10.4
ace_Arab-hau_Latn,29.7,8.4,8.9
ace_Arab-heb_Hebr,26.8,12.8,11.9
ace_Arab-hin_Deva,27.1,12.2,13.4
ace_Arab-hne_Deva,25.4,9.7,12.3
ace_Arab-hrv_Latn,29.2,10.7,9.8
ace_Arab-hun_Latn,28.1,11.2,10
ace_Arab-hye_Armn,27.1,13.9,13.1
ace_Arab-ibo_Latn,25.4,8.1,10.2
ace_Arab-ilo_Latn,34,9.8,10.6
ace_Arab-ind_Latn,37.2,15.1,15.2
ace_Arab-isl_Latn,26.4,10.4,9.7
ace_Arab-ita_Latn,30.9,11.8,11.4
ace_Arab-jav_Latn,31.2,9.3,9.9
ace_Arab-jpn_Jpan,11.8,7.3,9.7
ace_Arab-kab_Latn,23.1,6.2,7.4
ace_Arab-kac_Latn,27.7,6.7,7.9
ace_Arab-kam_Latn,20.8,3.3,3.5
ace_Arab-kan_Knda,26.8,12.3,13
ace_Arab-kas_Arab,19.2,7,7.6
ace_Arab-kas_Deva,12.2,2.2,2.8
ace_Arab-kat_Geor,28.1,13.6,12
ace_Arab-kaz_Cyrl,27.2,10.5,10.3
ace_Arab-kbp_Latn,19.2,3.6,8.6
ace_Arab-kea_Latn,20.9,5.3,5.4
ace_Arab-khk_Cyrl,24.7,9.1,7.9
ace_Arab-khm_Khmr,21.1,10.1,8.8
ace_Arab-kik_Latn,20.1,3.4,6.1
ace_Arab-kin_Latn,28.9,8.1,10.7
ace_Arab-kir_Cyrl,25.8,9.8,10.5
ace_Arab-kmb_Latn,20.3,2.6,3.1
ace_Arab-kmr_Latn,23.9,6.8,7.6
ace_Arab-knc_Arab,8.7,4.5,4.6
ace_Arab-knc_Latn,20,2.8,3
ace_Arab-kon_Latn,32.1,8.4,10.4
ace_Arab-kor_Hang,14.8,8.8,9.6
ace_Arab-lao_Laoo,26.1,11.4,13
ace_Arab-lij_Latn,26,10.5,10.7
ace_Arab-lim_Latn,26.7,7.7,7.6
ace_Arab-lin_Latn,32.8,9.1,10.3
ace_Arab-lit_Latn,28.1,9.5,9.3
ace_Arab-lmo_Latn,22.5,4.3,4.3
ace_Arab-ltg_Latn,26.5,8.8,9.8
ace_Arab-ltz_Latn,28,9.6,10.5
ace_Arab-lua_Latn,25.9,4,4.8
ace_Arab-lug_Latn,25.6,4.2,5.1
ace_Arab-luo_Latn,26.7,6.6,7.5
ace_Arab-lus_Latn,26.7,7.4,8.3
ace_Arab-lvs_Latn,27.4,8.8,9
ace_Arab-mag_Deva,27.1,11.7,13.5
ace_Arab-mai_Deva,20.4,6.1,8.4
ace_Arab-mal_Mlym,26.1,13.4,13.4
ace_Arab-mar_Deva,24.8,9.9,10.6
ace_Arab-min_Latn,31.4,9.8,10.8
ace_Arab-mkd_Cyrl,30.5,12.1,11.8
ace_Arab-mlt_Latn,30.2,15.1,17.5
ace_Arab-mni_Beng,23,10.3,18.1
ace_Arab-mos_Latn,15.2,2,4.1
ace_Arab-mri_Latn,30.4,9.5,11.2
ace_Arab-mya_Mymr,19.8,8,9.1
ace_Arab-nld_Latn,31.3,11.3,10.8
ace_Arab-nno_Latn,28.6,9.2,9.1
ace_Arab-nob_Latn,30.2,9.8,9.5
ace_Arab-npi_Deva,23.4,9.3,9.9
ace_Arab-nso_Latn,31.2,9,10.5
ace_Arab-nus_Latn,21.9,7.4,9.2
ace_Arab-nya_Latn,28.9,6.8,9.1
ace_Arab-oci_Latn,29.6,11.9,12.1
ace_Arab-ory_Orya,22.2,10.3,12.2
ace_Arab-pag_Latn,29.7,7.7,8.4
ace_Arab-pan_Guru,24.3,12.4,13.8
ace_Arab-pap_Latn,30,10.4,10.7
ace_Arab-pbt_Arab,22.6,7.8,7.4
ace_Arab-pes_Arab,26.1,10.5,10.2
ace_Arab-plt_Latn,31.2,8.4,9.6
ace_Arab-pol_Latn,26.8,10.4,9.1
ace_Arab-por_Latn,32.7,14.3,13.8
ace_Arab-prs_Arab,26.3,9.1,8.8
ace_Arab-quy_Latn,22.1,2.8,3.7
ace_Arab-ron_Latn,30.8,12.6,11.8
ace_Arab-run_Latn,26.4,6.8,8.6
ace_Arab-rus_Cyrl,27.5,11.2,10.2
ace_Arab-sag_Latn,27,5.4,6.6
ace_Arab-san_Deva,16.7,2.6,3.6
ace_Arab-sat_Olck,18.9,10.3,11
ace_Arab-scn_Latn,27.2,7.9,8.3
ace_Arab-shn_Mymr,23.9,5.9,12
ace_Arab-sin_Sinh,23.8,15,13.1
ace_Arab-slk_Latn,27.1,10.2,9.8
ace_Arab-slv_Latn,28.8,10.4,10
ace_Arab-smo_Latn,32.4,11.2,12.8
ace_Arab-sna_Latn,27.3,6.8,8.6
ace_Arab-snd_Arab,23.5,9.2,11.6
ace_Arab-som_Latn,27.4,6,6.1
ace_Arab-sot_Latn,28.7,7.2,8.4
ace_Arab-spa_Latn,31.1,11.5,11.3
ace_Arab-srd_Latn,30.9,11.1,11.7
ace_Arab-srp_Cyrl,28.4,11.1,10.7
ace_Arab-ssw_Latn,26.9,5.8,7.6
ace_Arab-sun_Latn,29,7.8,8.2
ace_Arab-swe_Latn,31.1,11.9,11.4
ace_Arab-swh_Latn,33,11.7,11.8
ace_Arab-szl_Latn,26,9.8,10.9
ace_Arab-tam_Taml,29.3,12.1,12.1
ace_Arab-taq_Latn,18.3,2.5,3
ace_Arab-taq_Tfng,15.4,4.3,4.8
ace_Arab-tat_Cyrl,26.7,10.7,16.1
ace_Arab-tel_Telu,26.7,12.6,13.4
ace_Arab-tgk_Cyrl,27.4,11.9,13.7
ace_Arab-tgl_Latn,36.1,12.6,12.8
ace_Arab-tha_Thai,23.2,15.4,9.3
ace_Arab-tir_Ethi,14.2,6.8,7.9
ace_Arab-tpi_Latn,30.8,7.9,10.5
ace_Arab-tsn_Latn,30.7,9,10.7
ace_Arab-tso_Latn,30,8,11
ace_Arab-tuk_Latn,23.5,7,9.9
ace_Arab-tum_Latn,23.8,4.9,7.1
ace_Arab-tur_Latn,28.6,11.4,10.6
ace_Arab-twi_Latn,24.3,5.7,7.9
ace_Arab-tzm_Tfng,22.6,10.1,15.3
ace_Arab-uig_Arab,25.6,11.6,19.8
ace_Arab-ukr_Cyrl,26.6,10.7,9.9
ace_Arab-umb_Latn,22.6,2.4,2.8
ace_Arab-urd_Arab,25.3,9.2,8.6
ace_Arab-uzn_Latn,26.9,8.2,9.1
ace_Arab-vec_Latn,27.6,8.1,8.1
ace_Arab-vie_Latn,30.8,14.5,14.1
ace_Arab-war_Latn,33.1,10.6,10.8
ace_Arab-wol_Latn,20.3,3.6,4.2
ace_Arab-xho_Latn,27.8,8,9.4
ace_Arab-ydd_Hebr,24.2,7.8,11
ace_Arab-yor_Latn,18.9,5.8,8.3
ace_Arab-yue_Hant,7.9,6.2,5.5
ace_Arab-zho_Hans,10.4,10.4,8.8
ace_Arab-zho_Hant,7,5.6,4.7
ace_Arab-zsm_Latn,35.7,13.1,13.1
ace_Arab-zul_Latn,28.9,8.9,10.8
ace_Latn-ace_Arab,16.5,5.6,5.9
ace_Latn-acm_Arab,20.9,5.4,3.9
ace_Latn-acq_Arab,23.1,11.3,9.1
ace_Latn-aeb_Arab,27.3,11.3,8.7
ace_Latn-afr_Latn,43.7,22.3,22.6
ace_Latn-ajp_Arab,31.6,15.6,12.5
ace_Latn-aka_Latn,27.5,8.2,11
ace_Latn-als_Latn,41.3,21.7,21.7
ace_Latn-amh_Ethi,26.3,19.4,20.9
ace_Latn-apc_Arab,32.4,17.4,14.3
ace_Latn-arb_Arab,38.6,24,20.4
ace_Latn-ars_Arab,27.7,14.5,12.4
ace_Latn-ary_Arab,28.1,11.7,9.1
ace_Latn-arz_Arab,31.3,15,11.9
ace_Latn-asm_Beng,27.1,14.8,18.3
ace_Latn-ast_Latn,39.1,18.5,19.6
ace_Latn-awa_Deva,30,14.3,16.2
ace_Latn-ayr_Latn,28,6.6,9.8
ace_Latn-azb_Arab,19.7,3.8,3.3
ace_Latn-azj_Latn,32.1,14.7,13.1
ace_Latn-bak_Cyrl,35.8,18.9,28.1
ace_Latn-bam_Latn,25.9,6.7,8.7
ace_Latn-ban_Latn,38,14.5,15.9
ace_Latn-bel_Cyrl,31.3,16.6,14.6
ace_Latn-bem_Latn,31.7,9.5,11.1
ace_Latn-ben_Beng,34.4,21.3,22
ace_Latn-bho_Deva,30.4,13.5,15.7
ace_Latn-bjn_Arab,15.2,4.8,4.8
ace_Latn-bjn_Latn,40.2,15.7,16
ace_Latn-bod_Tibt,24.5,5.1,1.8
ace_Latn-bos_Latn,39.8,20.8,19.5
ace_Latn-bug_Latn,30,7.3,8.6
ace_Latn-bul_Cyrl,42.8,25.3,23.6
ace_Latn-cat_Latn,44.3,25.9,26
ace_Latn-ceb_Latn,44.1,21.3,22.1
ace_Latn-ces_Latn,38.3,21.4,20.4
ace_Latn-cjk_Latn,22,3.3,3.8
ace_Latn-ckb_Arab,34.4,15.5,17.3
ace_Latn-crh_Latn,34.7,15.7,17.6
ace_Latn-cym_Latn,44,28.1,28.4
ace_Latn-dan_Latn,44.8,25,24.5
ace_Latn-deu_Latn,42.5,23.1,21.8
ace_Latn-dik_Latn,21.1,4.6,5.8
ace_Latn-dyu_Latn,18.3,2.7,2.7
ace_Latn-dzo_Tibt,28.5,8.5,3
ace_Latn-ell_Grek,36.8,22.9,20.6
ace_Latn-eng_Latn,52.1,34.4,33.9
ace_Latn-epo_Latn,42.6,22.5,23.6
ace_Latn-est_Latn,39,19,18.9
ace_Latn-eus_Latn,37.1,16.5,17.1
ace_Latn-ewe_Latn,31.6,11.8,15.4
ace_Latn-fao_Latn,35.2,16.7,17.6
ace_Latn-fij_Latn,40.3,17.3,19.9
ace_Latn-fin_Latn,37.8,17.9,17
ace_Latn-fon_Latn,18.3,5.1,7.7
ace_Latn-fra_Latn,45.8,28.6,28
ace_Latn-fur_Latn,37.7,19.3,20.5
ace_Latn-fuv_Latn,20.5,4.2,4.3
ace_Latn-gaz_Latn,31.2,9,10.4
ace_Latn-gla_Latn,37.3,17,19.6
ace_Latn-gle_Latn,40,21.9,24.4
ace_Latn-glg_Latn,42.5,22.4,22.8
ace_Latn-grn_Latn,29.3,10.9,12.7
ace_Latn-guj_Gujr,35.8,21.1,23.5
ace_Latn-hat_Latn,38.5,18,19.7
ace_Latn-hau_Latn,40.4,19.2,20.6
ace_Latn-heb_Hebr,37.5,22.9,21.9
ace_Latn-hin_Deva,37.9,21.6,23
ace_Latn-hne_Deva,34.7,17.6,21
ace_Latn-hrv_Latn,40,20.6,19.3
ace_Latn-hun_Latn,38.1,20.1,18.6
ace_Latn-hye_Armn,37,23,22.5
ace_Latn-ibo_Latn,33.3,14.1,17.6
ace_Latn-ilo_Latn,41.8,17.4,18.6
ace_Latn-ind_Latn,52.7,31.1,30.9
ace_Latn-isl_Latn,36.6,20.2,19.5
ace_Latn-ita_Latn,40.5,20.8,20.2
ace_Latn-jav_Latn,41.1,17.9,19
ace_Latn-jpn_Jpan,19.3,13.7,16.6
ace_Latn-kab_Latn,28.7,11,12.6
ace_Latn-kac_Latn,33.4,11.4,12.9
ace_Latn-kam_Latn,23.8,5.3,6.3
ace_Latn-kan_Knda,37.2,22.7,23.6
ace_Latn-kas_Arab,23.7,10.8,12
ace_Latn-kas_Deva,13.8,3,3.8
ace_Latn-kat_Geor,37,22.6,20.7
ace_Latn-kaz_Cyrl,36.6,19.1,19.4
ace_Latn-kbp_Latn,23,7,12.9
ace_Latn-kea_Latn,31.2,12.7,13
ace_Latn-khk_Cyrl,33.2,17,14.6
ace_Latn-khm_Khmr,29.5,16.4,15.6
ace_Latn-kik_Latn,24.1,6.5,10.3
ace_Latn-kin_Latn,39.2,17.7,21.5
ace_Latn-kir_Cyrl,34,17.3,18.7
ace_Latn-kmb_Latn,22.6,3.8,4.6
ace_Latn-kmr_Latn,31.4,13.2,14.5
ace_Latn-knc_Arab,8.5,5,5.1
ace_Latn-knc_Latn,23,5.3,5.5
ace_Latn-kon_Latn,39.2,15.2,18.7
ace_Latn-kor_Hang,23.3,16.4,17.3
ace_Latn-lao_Laoo,35.9,20.9,23.7
ace_Latn-lij_Latn,34.9,19,19.4
ace_Latn-lim_Latn,33.7,13.3,13.3
ace_Latn-lin_Latn,40.8,16.3,18.3
ace_Latn-lit_Latn,39.1,19.3,19.1
ace_Latn-lmo_Latn,26.8,6.7,6.6
ace_Latn-ltg_Latn,34.7,16.8,18.3
ace_Latn-ltz_Latn,38,18.8,20.2
ace_Latn-lua_Latn,31.4,8.5,10.2
ace_Latn-lug_Latn,32.6,9.5,11.3
ace_Latn-luo_Latn,32.7,11.6,13.3
ace_Latn-lus_Latn,32.3,11.5,12.8
ace_Latn-lvs_Latn,37.8,18.2,18.5
ace_Latn-mag_Deva,37.2,20.3,22.2
ace_Latn-mai_Deva,28.3,11.5,15.1
ace_Latn-mal_Mlym,36,22.6,22.5
ace_Latn-mar_Deva,33.8,17.4,18.1
ace_Latn-min_Latn,43.1,20.3,22.1
ace_Latn-mkd_Cyrl,42.5,23.4,23.1
ace_Latn-mlt_Latn,42.9,28.8,31.6
ace_Latn-mni_Beng,29.3,18.3,27.2
ace_Latn-mos_Latn,19.5,4.3,7.4
ace_Latn-mri_Latn,37.1,15.1,16.8
ace_Latn-mya_Mymr,23.7,10.8,12.9
ace_Latn-nld_Latn,40.6,20,19.1
ace_Latn-nno_Latn,38.2,17.7,17.5
ace_Latn-nob_Latn,40.9,19.5,18.9
ace_Latn-npi_Deva,34,17.7,18.3
ace_Latn-nso_Latn,40.7,18.2,21.2
ace_Latn-nus_Latn,25.1,11.5,14.3
ace_Latn-nya_Latn,36.2,12.4,16.1
ace_Latn-oci_Latn,39.1,20.7,21.1
ace_Latn-ory_Orya,30.8,17.4,19.9
ace_Latn-pag_Latn,38.3,15.6,16.8
ace_Latn-pan_Guru,34.2,21.5,23.7
ace_Latn-pap_Latn,41.2,21.6,22.5
ace_Latn-pbt_Arab,29.2,14.2,13.7
ace_Latn-pes_Arab,36.1,20,19.5
ace_Latn-plt_Latn,40.1,16.4,18.2
ace_Latn-pol_Latn,35.8,19.2,17.3
ace_Latn-por_Latn,45.5,27.5,26.5
ace_Latn-prs_Arab,36.2,17.4,16.8
ace_Latn-quy_Latn,25.6,5,6.5
ace_Latn-ron_Latn,42.5,24.7,23.3
ace_Latn-run_Latn,34.2,13.6,16.4
ace_Latn-rus_Cyrl,39.5,23.2,21.1
ace_Latn-sag_Latn,31.3,8.4,10.1
ace_Latn-san_Deva,20.5,5.2,6.7
ace_Latn-sat_Olck,19.7,12.7,13.4
ace_Latn-scn_Latn,34.6,14.6,15
ace_Latn-shn_Mymr,28.7,10.1,17.7
ace_Latn-sin_Sinh,31.5,23.2,20.4
ace_Latn-slk_Latn,38.3,20.5,20
ace_Latn-slv_Latn,38.8,19.7,19.3
ace_Latn-smo_Latn,40.5,18.7,21.6
ace_Latn-sna_Latn,35.1,13.3,16.1
ace_Latn-snd_Arab,31.3,17,20.3
ace_Latn-som_Latn,34.3,12,11.9
ace_Latn-sot_Latn,36.7,13.8,16.2
ace_Latn-spa_Latn,40.2,19.5,19.2
ace_Latn-srd_Latn,40.2,20.4,21.2
ace_Latn-srp_Cyrl,39.5,21.6,21.4
ace_Latn-ssw_Latn,34.3,11.7,14.5
ace_Latn-sun_Latn,37.5,15.6,16.1
ace_Latn-swe_Latn,43.5,24.4,23.3
ace_Latn-swh_Latn,44.7,22.8,23.2
ace_Latn-szl_Latn,33.9,17.4,18.7
ace_Latn-tam_Taml,38.6,21.4,21.1
ace_Latn-taq_Latn,20.4,3.8,4.4
ace_Latn-taq_Tfng,15.7,5.1,5.2
ace_Latn-tat_Cyrl,36.9,20.3,27
ace_Latn-tel_Telu,37.3,23,23.7
ace_Latn-tgk_Cyrl,37.6,21.4,24.5
ace_Latn-tgl_Latn,46.2,22.8,23.6
ace_Latn-tha_Thai,32,24.5,16.2
ace_Latn-tir_Ethi,19.3,12,13.8
ace_Latn-tpi_Latn,36.9,13.8,17.5
ace_Latn-tsn_Latn,38.7,16.8,19.3
ace_Latn-tso_Latn,39.2,16.7,21
ace_Latn-tuk_Latn,31.5,12.9,17.2
ace_Latn-tum_Latn,28.8,8.8,11.5
ace_Latn-tur_Latn,39.5,21.6,20.6
ace_Latn-twi_Latn,30.2,10.3,13.9
ace_Latn-tzm_Tfng,26.1,15.2,20.1
ace_Latn-uig_Arab,31.4,17.2,27
ace_Latn-ukr_Cyrl,38.2,21.6,20.4
ace_Latn-umb_Latn,24.8,3.7,4.6
ace_Latn-urd_Arab,34.6,17.4,16.9
ace_Latn-uzn_Latn,35.7,16,18
ace_Latn-vec_Latn,36.3,15.3,15.4
ace_Latn-vie_Latn,44.4,27.3,26.9
ace_Latn-war_Latn,41.7,18.5,19.3
ace_Latn-wol_Latn,25,7.3,8.6
ace_Latn-xho_Latn,37.5,16.5,19.2
ace_Latn-ydd_Hebr,30.3,12.9,18.5
ace_Latn-yor_Latn,23.3,10.5,13.6
ace_Latn-yue_Hant,12.9,10.2,8.9
ace_Latn-zho_Hans,16.4,18.4,15.6
ace_Latn-zho_Hant,9.1,7.2,6
ace_Latn-zsm_Latn,49.9,27.2,26.9
ace_Latn-zul_Latn,38.2,17.3,20
acm_Arab-ace_Arab,13.5,3.2,3.3
acm_Arab-ace_Latn,32.6,7.9,8.8
acm_Arab-acq_Arab,49.4,34.3,29.7
acm_Arab-aeb_Arab,43.9,28.2,24.1
acm_Arab-afr_Latn,52.5,29.6,30
acm_Arab-ajp_Arab,47.7,31.7,26.7
acm_Arab-aka_Latn,29.9,8.3,12.6
acm_Arab-als_Latn,50.3,29.3,29.4
acm_Arab-amh_Ethi,32.5,24,26.4
acm_Arab-apc_Arab,45.3,30.1,26.1
acm_Arab-arb_Arab,62.6,46.7,41.6
acm_Arab-ars_Arab,55.3,41.6,37
acm_Arab-ary_Arab,39.5,23.3,19
acm_Arab-arz_Arab,51.2,37.1,32.6
acm_Arab-asm_Beng,33.1,19,23.9
acm_Arab-ast_Latn,49.2,25,26.7
acm_Arab-awa_Deva,33.3,15.5,17.4
acm_Arab-ayr_Latn,29.9,6.7,10.7
acm_Arab-azb_Arab,23.9,4.5,4.1
acm_Arab-azj_Latn,40.1,20.7,18.6
acm_Arab-bak_Cyrl,42.1,23.2,35.4
acm_Arab-bam_Latn,27.1,6.2,9.2
acm_Arab-ban_Latn,39.2,13.1,14.7
acm_Arab-bel_Cyrl,38.7,23.4,20.7
acm_Arab-bem_Latn,34.9,10.2,12.7
acm_Arab-ben_Beng,41.5,26.8,28.4
acm_Arab-bho_Deva,36.1,16.5,19.4
acm_Arab-bjn_Arab,12,3.3,3.2
acm_Arab-bjn_Latn,42.6,15.8,16.3
acm_Arab-bod_Tibt,28.2,7.1,1.5
acm_Arab-bos_Latn,49,28.6,26.7
acm_Arab-bug_Latn,30.6,6.3,7.7
acm_Arab-bul_Cyrl,54.1,36.1,33.4
acm_Arab-cat_Latn,54.4,35,35.1
acm_Arab-ceb_Latn,50.6,26,27.7
acm_Arab-ces_Latn,47.3,29.6,28.2
acm_Arab-cjk_Latn,22.7,2.7,3.2
acm_Arab-ckb_Arab,41.4,20.4,23
acm_Arab-crh_Latn,41.5,21,23.5
acm_Arab-cym_Latn,54.3,37.3,38.3
acm_Arab-dan_Latn,54.7,33.9,33.2
acm_Arab-deu_Latn,52.9,33.2,31.2
acm_Arab-dik_Latn,21.3,3.8,5.3
acm_Arab-dyu_Latn,19.3,2.4,2.6
acm_Arab-dzo_Tibt,33,11.4,3.2
acm_Arab-ell_Grek,46,31,27.7
acm_Arab-eng_Latn,63.1,43.3,42.3
acm_Arab-epo_Latn,49.9,28.9,30.6
acm_Arab-est_Latn,47.7,26.1,26.2
acm_Arab-eus_Latn,44.2,22.1,23.3
acm_Arab-ewe_Latn,35.4,13.6,19
acm_Arab-fao_Latn,42.3,22.6,24.1
acm_Arab-fij_Latn,45.6,20.3,24.3
acm_Arab-fin_Latn,48.1,26,24.4
acm_Arab-fon_Latn,19.2,4.7,7.9
acm_Arab-fra_Latn,57.6,39.2,38.1
acm_Arab-fur_Latn,46.8,27.1,29.1
acm_Arab-fuv_Latn,21.7,3.6,4.1
acm_Arab-gaz_Latn,35.3,10.7,12.7
acm_Arab-gla_Latn,45.1,23,26.9
acm_Arab-gle_Latn,48.4,29.4,33
acm_Arab-glg_Latn,52.1,30,30.7
acm_Arab-grn_Latn,33.5,12.9,15.6
acm_Arab-guj_Gujr,43,26.1,30
acm_Arab-hat_Latn,45.7,22.5,25
acm_Arab-hau_Latn,46,21.1,23.4
acm_Arab-heb_Hebr,48.1,33.2,30.9
acm_Arab-hin_Deva,46.8,27.6,29.8
acm_Arab-hne_Deva,41.7,20.4,25
acm_Arab-hrv_Latn,49.3,28.7,26.8
acm_Arab-hun_Latn,47.6,28.2,26.1
acm_Arab-hye_Armn,45.5,30.5,29.9
acm_Arab-ibo_Latn,38.4,16.6,22
acm_Arab-ilo_Latn,47.9,20.6,23
acm_Arab-ind_Latn,57.6,33.3,32.9
acm_Arab-isl_Latn,44.7,27.6,26.9
acm_Arab-ita_Latn,50.2,29.1,28.4
acm_Arab-jav_Latn,45.7,19,21.4
acm_Arab-jpn_Jpan,21.9,16.5,19.9
acm_Arab-kab_Latn,32.3,13.2,15.5
acm_Arab-kac_Latn,37.5,13.1,15.3
acm_Arab-kam_Latn,23.2,4.3,5.6
acm_Arab-kan_Knda,44.9,28.9,30
acm_Arab-kas_Arab,28.2,13.2,14.7
acm_Arab-kas_Deva,15.2,3.1,4.1
acm_Arab-kat_Geor,45,29.6,27.7
acm_Arab-kaz_Cyrl,44.8,23,24
acm_Arab-kbp_Latn,24.8,7.9,15.1
acm_Arab-kea_Latn,39.9,17.8,18.6
acm_Arab-khk_Cyrl,40.5,22.9,19.9
acm_Arab-khm_Khmr,33.2,21.1,20.4
acm_Arab-kik_Latn,25.1,6.8,11.1
acm_Arab-kin_Latn,44.9,21.1,27.1
acm_Arab-kir_Cyrl,41.4,22.2,25.1
acm_Arab-kmb_Latn,23,3.1,4.3
acm_Arab-kmr_Latn,35.8,15.5,17.4
acm_Arab-knc_Arab,10.5,4.6,4.7
acm_Arab-knc_Latn,24.7,5.5,6.2
acm_Arab-kon_Latn,43.9,17.9,22.2
acm_Arab-kor_Hang,28.7,20.7,22.5
acm_Arab-lao_Laoo,40.3,26.3,29.9
acm_Arab-lij_Latn,43.4,25.5,25.9
acm_Arab-lim_Latn,39.5,16.9,17
acm_Arab-lin_Latn,45.3,17.8,21.6
acm_Arab-lit_Latn,48,26.8,26.8
acm_Arab-lmo_Latn,30.8,7.6,7.7
acm_Arab-ltg_Latn,42.2,23.6,25.6
acm_Arab-ltz_Latn,46.2,25.6,27.7
acm_Arab-lua_Latn,33.5,7.7,9.9
acm_Arab-lug_Latn,36.2,9.9,12.6
acm_Arab-luo_Latn,36.8,12.8,15.7
acm_Arab-lus_Latn,35.7,12.4,14.6
acm_Arab-lvs_Latn,46.9,25.6,26.3
acm_Arab-mag_Deva,44.5,24.3,27.2
acm_Arab-mai_Deva,34.9,14.7,19.3
acm_Arab-mal_Mlym,44.4,29.3,29.6
acm_Arab-mar_Deva,40.1,21.9,22.9
acm_Arab-min_Latn,45,19.5,22.1
acm_Arab-mkd_Cyrl,52.5,32,31.6
acm_Arab-mlt_Latn,52.2,36.4,41.6
acm_Arab-mni_Beng,33.4,20.8,32.3
acm_Arab-mos_Latn,20.3,4.2,7.3
acm_Arab-mri_Latn,42.3,18.9,22.8
acm_Arab-mya_Mymr,26.9,12.9,16.2
acm_Arab-nld_Latn,48.9,26.9,25.7
acm_Arab-nno_Latn,44.7,22.1,22.1
acm_Arab-nob_Latn,49.2,26.6,25.8
acm_Arab-npi_Deva,41.3,22.3,23.2
acm_Arab-nso_Latn,46.5,21.5,25.7
acm_Arab-nus_Latn,27.2,11.9,15
acm_Arab-nya_Latn,41.2,14,19.8
acm_Arab-oci_Latn,48.8,28.7,29.5
acm_Arab-ory_Orya,39.2,22.3,26.6
acm_Arab-pag_Latn,42.3,15.9,17.7
acm_Arab-pan_Guru,41,26.8,30.2
acm_Arab-pap_Latn,48.8,27.8,28.9
acm_Arab-pbt_Arab,33.9,17.3,16.7
acm_Arab-pes_Arab,44.2,26.4,25.7
